bhk,propertytype,location,sqft,pricepersqft,totalprice
3,Flat,Bhopal,1205,4186,3900000
3,Flat,Bhopal,1200,3333,6500000
2,Flat,Bhopal,1100,2557,7500000
2,Flat,Bhopal,800,2727,4500000
3,Flat,Bhopal,750,2308,2500000
3,Flat,Bhopal,880,2667,3800000
2,Flat,Bhopal,550,2917,2000000
3,Flat,Bhopal,1200,3000,5500000
2,Flat,Bhopal,814,2533,3700000
2,Flat,Bhopal,800,5000,3300000
2,Flat,Bhopal,900,2667,3000000
3,Flat,Bhopal,1300,8333,3000000
2,Flat,Bhopal,750,6111,2000000
2,Flat,Bhopal,1200,4783,3500000
2,Flat,Bhopal,592,3623,3500000
2,Flat,Bhopal,600,3706,1400000
3,Flat,Bhopal,1000,7059,5500000
3,Flat,Bhopal,1250,2551,7000000
2,Flat,Bhopal,850,3167,2500000
3,Flat,Bhopal,1350,3776,4000000
3,Flat,Bhopal,1180,2000,6000000
3,Flat,Bhopal,1205,3158,2800000
3,Flat,Bhopal,1185,2947,6300000
3,Flat,Bhopal,1400,3714,3000000
2,Flat,Bhopal,740,2455,6000000
2,Flat,Bhopal,1068,4000,2800000
3,Flat,Bhopal,1372,2750,3500000
2,Flat,Bhopal,800,5769,3700000
2,Flat,Bhopal,550,2863,1400000
2,Flat,Bhopal,1080,3657,3600000
2,Flat,Bhopal,950,3226,3000000
3,Flat,Bhopal,1527,2055,4500000
2,Flat,Bhopal,1200,2057,3300000
2,Flat,Bhopal,700,2056,2600000
2,Flat,Bhopal,1100,2450,2700000
2,Flat,Bhopal,600,2059,2700000
2,Flat,Bhopal,612,3579,3310000
3,Flat,Bhopal,1200,2188,3300000
2,Flat,Bhopal,918,3273,2750000
3,Flat,Bhopal,315,2769,1800000
2,Flat,Bhopal,1150,2625,3750000
2,Flat,Bhopal,735,4000,3200000
3,Flat,Bhopal,1100,2593,2260000
3,Flat,Bhopal,1400,3346,2880000
2,Flat,Bhopal,1250,2024,2570000
3,Flat,Bhopal,1180,4000,2430000
2,Flat,Bhopal,700,2056,1800000
2,Flat,Bhopal,800,1667,3400000
3,Flat,Bhopal,1500,9583,3500000
3,Flat,Bhopal,1000,4593,3450000
3,Flat,Bhopal,1024,2545,4200000
2,Flat,Bhopal,900,7153,3000000
3,Flat,Bhopal,1350,5000,3500000
3,Flat,Bhopal,1076,7678,3600000
3,Flat,Bhopal,1235,3500,2500000
2,Flat,Bhopal,1059,10000,3500000
2,Flat,Bhopal,750,2500,3000000
3,Flat,Bhopal,1600,3840,3290000
3,Flat,Bhopal,1150,4777,2500000
3,Flat,Bhopal,3000,4625,5000000
3,Flat,Bhopal,1200,2280,7000000
2,Flat,Bhopal,675,2364,3100000
2,Flat,Bhopal,1100,1667,2800000
2,Flat,Bhopal,675,2667,3100000
3,Flat,Bhopal,1300,3676,3500000
2,Flat,Bhopal,400,2000,1400000
2,Flat,Bhopal,800,2453,2000000
2,Flat,Bhopal,625,2445,2400000
2,Flat,Bhopal,800,5447,3700000
2,Flat,Bhopal,965,6333,2200000
2,Flat,Bhopal,550,4615,1300000
3,Flat,Bhopal,3000,1333,5000000
2,Flat,Bhopal,680,3827,2500000
2,Flat,Bhopal,800,2833,2400000
3,Flat,Bhopal,780,2769,5500000
2,Flat,Bhopal,406,2552,1000000
2,Flat,Bhopal,800,4658,2110000
2,Flat,Bhopal,504,2056,1350000
2,Flat,Bhopal,600,1938,1900000
2,Flat,Bhopal,900,2917,1200000
3,Flat,Bhopal,1176,2291,4500000
3,Flat,Bhopal,1000,2353,3400000
2,Flat,Bhopal,939,3158,2600000
3,Flat,Bhopal,1000,3611,3700000
2,Flat,Bhopal,966,2293,4500000
2,Flat,Bhopal,750,3875,1960000
3,Flat,Bhopal,1240,3020,2550000
2,Flat,Bhopal,1000,5200,3000000
2,Flat,Bhopal,900,5707,2470000
2,Flat,Bhopal,900,3557,2500000
3,Flat,Bhopal,950,5385,3500000
2,Flat,Bhopal,900,4739,3500000
2,Flat,Bhopal,1484,3161,3400000
3,Flat,Bhopal,1500,4333,4000000
2,Flat,Bhopal,950,2564,3000000
3,Flat,Bhopal,1800,3679,6500000
3,Flat,Bhopal,915,4361,3100000
3,Flat,Bhopal,1300,13636,3600000
2,Flat,Bhopal,575,3600,2000000
2,Flat,Bhopal,967,2211,3700000
3,Flat,Bhopal,1500,2286,7800000
3,Flat,Bhopal,1203,3900,3000000
2,Flat,Bhopal,500,3684,1400000
2,Flat,Bhopal,600,6818,1600000
2,Flat,Bhopal,700,6667,2700000
3,Flat,Bhopal,1300,5000,7000000
3,Flat,Bhopal,1582,3342,5000000
2,Flat,Bhopal,600,3222,2600000
3,Flat,Bhopal,1365,3111,3500000
3,Flat,Bhopal,1705,3125,3620000
2,Flat,Bhopal,1790,2571,6590000
3,Flat,Bhopal,1000,2222,3600000
3,Flat,Bhopal,1900,4474,4200000
2,Flat,Bhopal,500,3214,1950000
2,Flat,Bhopal,950,3667,2300000
3,Flat,Bhopal,1200,1536,4000000
3,Flat,Bhopal,980,5000,5500000
3,Flat,Bhopal,1504,3859,4250000
3,Flat,Bhubaneswar,2365,8710,20600000
3,Flat,Bhubaneswar,1931,8723,16800000
3,Flat,Bhubaneswar,1277,5802,10900000
3,Flat,Bhubaneswar,1996,6208,12300000
3,Flat,Bhubaneswar,2050,7200,14700000
3,Flat,Bhubaneswar,2638,8600,22599999
3,Flat,Bhubaneswar,1304,6100,12500000
3,Flat,Bhubaneswar,1649,5813,9590000
3,Flat,Bhubaneswar,1534,6100,14500000
3,Flat,Bhubaneswar,1173,6100,10700000
3,Flat,Bhubaneswar,1721,6217,10700000
3,Flat,Bhubaneswar,2200,8748,19200000
2,Flat,Bhubaneswar,1566,7351,11500000
3,Flat,Bhubaneswar,1247,5250,10600000
3,Flat,Bhubaneswar,2440,9467,23100000
3,Flat,Bhubaneswar,2095,6635,13899999
3,Flat,Bhubaneswar,1696,5778,9800000
3,Flat,Bhubaneswar,1150,8643,9940000
3,Flat,Bhubaneswar,2025,7556,15300000
3,Flat,Bhubaneswar,2586,7500,19300000
3,Flat,Bhubaneswar,1747,6800,11299999
3,Flat,Bhubaneswar,1608,6301,10900000
3,Flat,Bhubaneswar,1919,5495,12000000
3,Flat,Bhubaneswar,1456,9000,8000000
3,Flat,Bhubaneswar,2095,6087,12500000
3,Flat,Bhubaneswar,1821,5523,10700000
3,Flat,Bhubaneswar,1175,6000,9500000
3,Flat,Bhubaneswar,2165,9310,12900000
3,Flat,Bhubaneswar,2363,5405,21900000
3,Flat,Bhubaneswar,1480,5500,8000000
3,Flat,Bhubaneswar,1193,6500,9520000
3,Flat,Bhubaneswar,1450,5500,9430000
2,Flat,Bhubaneswar,856,5479,7630000
3,Flat,Bhubaneswar,1085,9375,9810000
3,Flat,Bhubaneswar,1600,3947,15000000
3,Flat,Bhubaneswar,1540,7962,8500000
3,Flat,Bhubaneswar,1570,8433,12500000
3,Flat,Bhubaneswar,1301,4681,11200000
3,Flat,Bhubaneswar,1950,14180,11000000
3,Flat,Bhubaneswar,1424,4750,5980000
3,Flat,Bhubaneswar,1508,5554,7159999
3,Flat,Bhubaneswar,1073,5654,7900000
2,Flat,Bhubaneswar,776,7500,6230000
3,Flat,Bhubaneswar,951,8824,8470000
